OBJECTID,Zoning_ID,Category,Subcategory,Use_Type,Use_Status,Density,Unit,Notes
3631,TVAP_TC_G,Resource Management,Timber Management,Tree Farms,Allowed,,NA,NA
3632,TVAP_TC_G,Resource Management,Wildlife And Fishes,Early Successional Vegetation Management,Allowed,,NA,NA
3633,TVAP_TC_G,Resource Management,Wildlife And Fishes,Structural Fish Habitat Management,Allowed,,NA,NA
3634,TVAP_TC_G,Resource Management,Wildlife And Fishes,Nonstructural Fish Habitat Management,Allowed,,NA,NA
3635,TVAP_TC_G,Resource Management,Wildlife And Fishes,Structural Wildlife Habitat Management,Allowed,,NA,NA
3636,TVAP_TC_G,Resource Management,Wildlife And Fishes,Nonstructural Wildlife Habitat Management,Allowed,,NA,NA
3637,TVAP_TC_G,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,NA
3638,TVAP_TC_G,Resource Management,Vegetation Protection,Prescribed Fire/Burning Management,Allowed,,NA,NA
3639,TVAP_TC_G,Resource Management,Vegetation Protection,Fuels Treatment Management,Allowed,,NA,NA
3640,TVAP_TC_G,Resource Management,Vegetation Protection,Sensitive Plant Management,Allowed,,NA,NA
3641,TVAP_TC_G,Resource Management,Vegetation Protection,Insect and Disease Suppression,Allowed,,NA,NA
3642,TVAP_TC_G,Resource Management,Open Space,Allowed in all Areas of the Region,Allowed,,NA,NA
3643,TVAP_TC_G,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,NA
3644,TVAP_TC_G,Resource Management,Watershed Improvements,Stream Environmental Zone (SEZ) Restoration,Allowed,,NA,NA
3645,TVAP_TC_G,Resource Management,Watershed Improvements,Runoff Control,Allowed,,NA,NA
3646,TVAP_TC_HC,Residential,Residential,Employee Housing,Allowed,25,units per acre,NA
3647,TVAP_TC_HC,Residential,Residential,Residential Care,Allowed,25,persons per acre,"Portions of the Tahoe Valley Area Plan lie within the safety zones established by the Lake Tahoe Airport Comprehensive Land Use Plan (CLUP). Uses within these zones may be further restricted by the CLUP. Users of this Area Plan should refer to the CLUP to determine if additional restrictions are applicable to the property they are interested in or consult with the City of South Lake Tahoe Planning Division.
"
3648,TVAP_TC_HC,Residential,Residential,Mobile Home Dwelling,Special Use,,NA,no density listed for mobile homes but they are allowed- talk to alyssa
3649,TVAP_TC_HC,Residential,Residential,Single Family Dwelling,Special Use,1,units per acre,"parcels greater than
Parcels greater than or equal to one acre: 2 units per parcel, provided one unit is an authorized secondary residence"
3650,TVAP_TC_HC,Residential,Residential,Multiple Family Dwelling,Allowed,25,units per acre,NA
3651,TVAP_TC_HC,Residential,Residential,Multi-Person Dwelling,Allowed,25,persons per acre,NA
3652,TVAP_TC_HC,Tourist Accommodation,Tourist Accommodation,"Hotel, Motel, and Other Transient Dwelling Units",Special Use,40,units per acre,NA
3653,TVAP_TC_HC,Commercial,Services,Schools - Business and Vocational,Special Use,,NA,"Portions of the Tahoe Valley Area Plan lie within the safety zones established by the Lake Tahoe Airport Comprehensive Land Use Plan (CLUP). Uses within these zones may be further restricted by the CLUP. Users of this Area Plan should refer to the CLUP to determine if additional restrictions are applicable to the property they are interested in or consult with the City of South Lake Tahoe Planning Division.
"
3654,TVAP_TC_HC,Commercial,Services,Secondary Storage,Special Use,,NA,NA
3655,TVAP_TC_HC,Commercial,Services,Health Care Services,Allowed,,NA,NA
3656,TVAP_TC_HC,Commercial,Wholesale/Storage,Vehicle Storage and Parking,Special Use,,NA,"Land use category is identified in TRPA Code Section 60.3 as a “possible contaminating activity,” triggering special requirements pursuant to TRPA Code Section 60.4 if located within Source Water Protection Zone (see Figure 9).
"
3657,TVAP_TC_HC,Public Services,General,"Airfields, Landing Strips and Heliports (New Non-Emergency Sites Prohibited)",Special Use,,NA,"New non-emergency sites prohibited. Land use category is identified in TRPA Code Section 60.3 as a “possible contaminating activity,” triggering special requirements pursuant to TRPA Code Section 60.4 if located within Source Water Protection Zone (see Figure 9).

"
3659,TVAP_TC_HC,Public Services,General,Religious Assembly,Allowed,,NA,NA
3660,TVAP_TC_HC,Public Services,General,Cultural Facilities,Special Use,,NA,NA
3661,TVAP_TC_HC,Public Services,General,Day Care Centers/Pre-Schools,Allowed,,NA,NA
3662,TVAP_TC_HC,Public Services,General,Government Offices,Special Use,,NA,NA
3658,TVAP_TC_HC,Public Services,General,Local Public Health and Safety Facilities,Allowed,,NA,"Land use category is identified in TRPA Code Section 60.3 as a “possible contaminating activity,” triggering special requirements pursuant to TRPA Code Section 60.4 if located within Source Water Protection Zone (see Figure 9).
"
3663,TVAP_TC_HC,Public Services,General,Hospitals,Allowed,,NA,"Portions of the Tahoe Valley Area Plan lie within the safety zones established by the Lake Tahoe Airport Comprehensive Land Use Plan (CLUP). Uses within these zones may be further restricted by the CLUP. Users of this Area Plan should refer to the CLUP to determine if additional restrictions are applicable to the property they are interested in or consult with the City of South Lake Tahoe Planning Division.
Land use category is identified in TRPA Code Section 60.3 as a “possible contaminating activity,” triggering special requirements pursuant to TRPA Code Section 60.4 if located within Source Water Protection Zone (see Figure 9).
"
3664,TVAP_TC_HC,Public Services,General,Social Service Organizations,Allowed,,NA,NA
3665,TVAP_TC_HC,Public Services,Linear Public Facilities,Pipelines and Power Transmission,Special Use,,NA,NA
3666,TVAP_TC_HC,Public Services,Linear Public Facilities,Transportation Routes,Allowed,,NA,NA
3667,TVAP_TC_HC,Public Services,Linear Public Facilities,Transit Stations and Terminals,Special Use,,NA,NA
3668,TVAP_TC_HC,Public Services,Linear Public Facilities,Transmission and Receiving Facilities,Special Use,,NA,NA
3669,TVAP_TC_HC,Recreation,Recreation,Day Use Areas,Special Use,,NA,NA
3670,TVAP_TC_HC,Recreation,Recreation,Riding and Hiking Trails,Allowed,,NA,NA
3671,TVAP_TC_HC,Resource Management,Timber Management,Reforestation,Allowed,,NA,NA
3672,TVAP_TC_HC,Resource Management,Timber Management,Special Cut,Allowed,,NA,NA
3673,TVAP_TC_HC,Resource Management,Timber Management,Regeneration Harvest,Allowed,,NA,NA
3674,TVAP_TC_HC,Resource Management,Timber Management,Thinning,Allowed,,NA,NA
3675,TVAP_TC_HC,Resource Management,Timber Management,Sanitation Salvage Cut,Allowed,,NA,NA
3676,TVAP_TC_HC,Resource Management,Timber Management,Timber Stand Improvement,Allowed,,NA,NA
3677,TVAP_TC_HC,Resource Management,Timber Management,Selection Cut,Allowed,,NA,NA
3678,TVAP_TC_HC,Resource Management,Timber Management,Tree Farms,Allowed,,NA,NA
3679,TVAP_TC_HC,Resource Management,Wildlife And Fishes,Early Successional Vegetation Management,Allowed,,NA,NA
3680,TVAP_TC_HC,Resource Management,Wildlife And Fishes,Structural Fish Habitat Management,Allowed,,NA,NA
3681,TVAP_TC_HC,Resource Management,Wildlife And Fishes,Nonstructural Fish Habitat Management,Allowed,,NA,NA
3682,TVAP_TC_HC,Resource Management,Wildlife And Fishes,Structural Wildlife Habitat Management,Allowed,,NA,NA
3683,TVAP_TC_HC,Resource Management,Wildlife And Fishes,Nonstructural Wildlife Habitat Management,Allowed,,NA,NA
3684,TVAP_TC_HC,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,NA
3685,TVAP_TC_HC,Resource Management,Vegetation Protection,Prescribed Fire/Burning Management,Allowed,,NA,NA
3686,TVAP_TC_HC,Resource Management,Vegetation Protection,Fuels Treatment Management,Allowed,,NA,NA
3687,TVAP_TC_HC,Resource Management,Vegetation Protection,Sensitive Plant Management,Allowed,,NA,NA
3688,TVAP_TC_HC,Resource Management,Vegetation Protection,Insect and Disease Suppression,Allowed,,NA,NA
3689,TVAP_TC_HC,Resource Management,Open Space,Allowed in all Areas of the Region,Allowed,,NA,NA
3690,TVAP_TC_HC,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,NA
3691,TVAP_TC_HC,Resource Management,Watershed Improvements,Stream Environmental Zone (SEZ) Restoration,Allowed,,NA,NA
3692,TVAP_TC_HC,Resource Management,Watershed Improvements,Runoff Control,Allowed,,NA,NA
3693,TVAP_TC_MUC,Residential,Residential,Employee Housing,Allowed,25,units per acre,NA
3694,TVAP_TC_MUC,Residential,Residential,Single Family Dwelling,Allowed,1,units per acre,"Parcels greater than or equal to one acre: 2 units per parcel, provided one unit is an authorized secondary residence. Condominiums only."
3695,TVAP_TC_MUC,Residential,Residential,Multiple Family Dwelling,Allowed,25,units per acre,NA
3696,TVAP_TC_MUC,Tourist Accommodation,Tourist Accommodation,"Hotel, Motel, and Other Transient Dwelling Units",Allowed,40,units per acre,NA
3697,TVAP_TC_MUC,Tourist Accommodation,Tourist Accommodation,Time Sharing (Hotel/Motel Design),Allowed,40,units per acre,NA
3698,TVAP_TC_MUC,Tourist Accommodation,Tourist Accommodation,Time Sharing (Residential Design),Allowed,40,units per acre,NA
3699,TVAP_TC_MUC,Commercial,Retail,"Auto, Mobile Home and  Vehicle Dealers",Special Use,,NA,NA
3700,TVAP_TC_MUC,Commercial,Retail,General Merchandise Stores,Allowed,,NA,NA
3701,TVAP_TC_MUC,Commercial,Retail,Building Materials and Hardware,Allowed,,NA,NA
3702,TVAP_TC_MUC,Commercial,Retail,Nursery,Special Use,,NA,NA
3703,TVAP_TC_MUC,Commercial,Retail,Outdoor Retail Sales,Special Use,,NA,NA
3704,TVAP_TC_MUC,Commercial,Retail,Eating and Drinking Places,Allowed,,NA,NA
3705,TVAP_TC_MUC,Commercial,Retail,Service Stations,Special Use,,NA,"Land use category is identified in TRPA Code Section 60.3 as a “possible contaminating activity,” triggering special requirements pursuant to TRPA Code Section 60.4 if located within Source Water Protection Zone (see Figure 9)."
3706,TVAP_TC_MUC,Commercial,Entertainment,Amusements and Recreation Services,Allowed,,NA,NA
3707,TVAP_TC_MUC,Commercial,Entertainment,Outdoor Amusements,Special Use,,NA,NA
3708,TVAP_TC_MUC,Commercial,Entertainment,Privately Owned Assembly and Entertainment,Special Use,,NA,Portions of the Tahoe Valley Area Plan lie within the safety zones established by the Lake Tahoe Airport Comprehensive Land Use Plan (CLUP). Uses within these zones may be further restricted by the CLUP. Users of this Area Plan should refer to the CLUP to determine if additional restrictions are applicable to the property they are interested in or consult with the City of South Lake Tahoe Planning Division.
3709,TVAP_TC_MUC,Commercial,Services,Animal Husbandry Services,Special Use,,NA,NA
3710,TVAP_TC_MUC,Commercial,Services,Professional Offices,Allowed,,NA,NA
3711,TVAP_TC_MUC,Commercial,Services,Repair Services,Allowed,,NA,"Land use category is identified in TRPA Code Section 60.3 as a “possible contaminating activity,” triggering special requirements pursuant to TRPA Code Section 60.4 if located within Source Water Protection Zone (see Figure 9)."
3712,TVAP_TC_MUC,Commercial,Services,Business Support Services,Allowed,,NA,NA
3713,TVAP_TC_MUC,Commercial,Services,Schools - Business and Vocational,Special Use,,NA,Portions of the Tahoe Valley Area Plan lie within the safety zones established by the Lake Tahoe Airport Comprehensive Land Use Plan (CLUP). Uses within these zones may be further restricted by the CLUP. Users of this Area Plan should refer to the CLUP to determine if additional restrictions are applicable to the property they are interested in or consult with the City of South Lake Tahoe Planning Division.
3714,TVAP_TC_MUC,Commercial,Services,Secondary Storage,Special Use,,NA,NA
3715,TVAP_TC_MUC,Commercial,Services,Health Care Services,Allowed,,NA,NA
3716,TVAP_TC_MUC,Commercial,Light Industrial,Small Scale Manufacturing,Special Use,,NA,NA
3717,TVAP_TC_MUC,Commercial,Wholesale/Storage,Vehicle Storage and Parking,Special Use,,NA,"Land use category is identified in TRPA Code Section 60.3 as a “possible contaminating activity,” triggering special requirements pursuant to TRPA Code Section 60.4 if located within Source Water Protection Zone (see Figure 9)."
3718,TVAP_TC_MUC,Public Services,General,Local Public Health and Safety Facilities,Allowed,,NA,"Land use category is identified in TRPA Code Section 60.3 as a “possible contaminating activity,” triggering special requirements pursuant to TRPA Code Section 60.4 if located within Source Water Protection Zone (see Figure 9)."
3719,TVAP_TC_MUC,Public Services,General,Membership Organizations,Allowed,,NA,NA
3720,TVAP_TC_MUC,Public Services,General,Religious Assembly,Allowed,,NA,NA
3721,TVAP_TC_MUC,Public Services,General,Publicly Owned Assembly and Entertainment,Allowed,,NA,Portions of the Tahoe Valley Area Plan lie within the safety zones established by the Lake Tahoe Airport Comprehensive Land Use Plan (CLUP). Uses within these zones may be further restricted by the CLUP. Users of this Area Plan should refer to the CLUP to determine if additional restrictions are applicable to the property they are interested in or consult with the City of South Lake Tahoe Planning Division.
3722,TVAP_TC_MUC,Public Services,General,Cultural Facilities,Allowed,,NA,NA
3723,TVAP_TC_MUC,Public Services,General,Day Care Centers/Pre-Schools,Allowed,,NA,NA
3724,TVAP_TC_MUC,Public Services,General,Government Offices,Allowed,,NA,NA
3725,TVAP_TC_MUC,Public Services,General,Local Assembly and Entertainment,Allowed,,NA,NA
3726,TVAP_TC_MUC,Public Services,General,Local Post Office,Allowed,,NA,NA
3727,TVAP_TC_MUC,Public Services,General,Social Service Organizations,Allowed,,NA,NA
3728,TVAP_TC_MUC,Public Services,General,Threshold-Related Research Facilities,Allowed,,NA,NA
3729,TVAP_TC_MUC,Public Services,Linear Public Facilities,Pipelines and Power Transmission,Special Use,,NA,NA
3730,TVAP_TC_MUC,Public Services,Linear Public Facilities,Transportation Routes,Allowed,,NA,NA
3731,TVAP_TC_MUC,Public Services,Linear Public Facilities,Transit Stations and Terminals,Special Use,,NA,NA
3732,TVAP_TC_MUC,Public Services,Linear Public Facilities,Transmission and Receiving Facilities,Special Use,,NA,NA
3733,TVAP_TC_MUC,Recreation,Recreation,Outdoor Recreation Concessions,Special Use,,NA,NA
3734,TVAP_TC_MUC,Recreation,Recreation,Day Use Areas,Allowed,,NA,NA
3735,TVAP_TC_MUC,Recreation,Recreation,Riding and Hiking Trails,Allowed,,NA,NA
3736,TVAP_TC_MUC,Recreation,Recreation,Visitor Information Centers,Special Use,,NA,NA
3737,TVAP_TC_MUC,Resource Management,Timber Management,Reforestation,Allowed,,NA,NA
3738,TVAP_TC_MUC,Resource Management,Timber Management,Special Cut,Allowed,,NA,NA
3739,TVAP_TC_MUC,Resource Management,Timber Management,Regeneration Harvest,Allowed,,NA,NA
3740,TVAP_TC_MUC,Resource Management,Timber Management,Thinning,Allowed,,NA,NA
3741,TVAP_TC_MUC,Resource Management,Timber Management,Sanitation Salvage Cut,Allowed,,NA,NA
3742,TVAP_TC_MUC,Resource Management,Timber Management,Timber Stand Improvement,Allowed,,NA,NA
3743,TVAP_TC_MUC,Resource Management,Timber Management,Selection Cut,Allowed,,NA,NA
3744,TVAP_TC_MUC,Resource Management,Timber Management,Tree Farms,Allowed,,NA,NA
3745,TVAP_TC_MUC,Resource Management,Wildlife And Fishes,Early Successional Vegetation Management,Allowed,,NA,NA
3746,TVAP_TC_MUC,Resource Management,Wildlife And Fishes,Structural Fish Habitat Management,Allowed,,NA,NA
3747,TVAP_TC_MUC,Resource Management,Wildlife And Fishes,Nonstructural Fish Habitat Management,Allowed,,NA,NA
3748,TVAP_TC_MUC,Resource Management,Wildlife And Fishes,Structural Wildlife Habitat Management,Allowed,,NA,NA
3749,TVAP_TC_MUC,Resource Management,Wildlife And Fishes,Nonstructural Wildlife Habitat Management,Allowed,,NA,NA
3750,TVAP_TC_MUC,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,NA
3751,TVAP_TC_MUC,Resource Management,Vegetation Protection,Prescribed Fire/Burning Management,Allowed,,NA,NA
3752,TVAP_TC_MUC,Resource Management,Vegetation Protection,Fuels Treatment Management,Allowed,,NA,NA
3753,TVAP_TC_MUC,Resource Management,Vegetation Protection,Sensitive Plant Management,Allowed,,NA,NA
3754,TVAP_TC_MUC,Resource Management,Vegetation Protection,Insect and Disease Suppression,Allowed,,NA,NA
3755,TVAP_TC_MUC,Resource Management,Open Space,Allowed in all Areas of the Region,Allowed,,NA,NA
3756,TVAP_TC_MUC,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,NA
3757,TVAP_TC_MUC,Resource Management,Watershed Improvements,Stream Environmental Zone (SEZ) Restoration,Allowed,,NA,NA
